Date,Treat,Nutrients,Glucose,Location,Leaf_number,jar,Crucible_mass,Crucible_leafmass,perc_N,mol_N,perc_C,mol_C,CN_mol
2018-11-12,NG-NN,N,N,Top,2,A,26.9368,26.9432,1.1,0.07853384452,46.92,3.906516689,49.74309756
2018-11-12,NG-NN,N,N,Top,3,B,26.9368,26.9491,1.81,0.1292238714,44.9,3.738333319,28.92912337
2018-11-12,NG-NN,N,N,Top,3,C,26.9373,26.9449,0.84,0.05997129945,45.21,3.764143639,62.76575084
2018-11-12,NG-NN,N,N,Top,3,D,26.9371,26.944,0.94,0.06711073986,46,3.829918323,57.06863508
2018-11-12,NG-YN,Y,N,Top,3,A,26.9373,26.9485,2.05,0.1463585284,47.46,3.9514766,26.99860844
2018-11-12,NG-YN,Y,N,Top,3,B,26.9373,26.9481,1.24,0.08852906109,47.48,3.953141782,44.65360564
2018-11-12,NG-YN,Y,N,Top,3,C,26.9368,26.9433,1.59,0.1135171025,46.48,3.869882688,34.09074581
2018-11-12,NG-YN,Y,N,Top,3,D,26.9368,26.9469,0.92,0.06568285178,47.08,3.919838144,59.67825754
2018-11-12,YG-NN,N,Y,Top,3,A,26.9368,26.9477,1.14,0.08138962068,46.59,3.879041188,47.6601458
2018-11-12,YG-NN,N,Y,Top,3,B,26.9368,26.9439,0.65,0.04640636267,46.59,3.879041188,83.5885634
2018-11-12,YG-NN,N,Y,Top,3,C,26.9369,26.9466,0.83,0.05925735541,48.63,4.04888974,68.32720954
2018-11-12,YG-NN,N,Y,Top,3,D,26.9369,26.9446,0.74,0.05283185904,47.95,3.992273556,75.56564597
2018-11-12,YG-YN,Y,Y,Top,3,A,26.937,26.9437,0.78,0.0556876352,46.99,3.912344826,70.25517984
2018-11-12,YG-YN,Y,Y,Top,3,B,26.9368,26.9456,0.81,0.05782946733,46.4,3.86322196,66.80369263
2018-11-12,YG-YN,Y,Y,Top,3,C,26.9368,26.9471,1.28,0.09,47.47,3.95,43.53
2018-11-12,YG-YN,Y,Y,Top,3,D,26.9368,26.9469,1.12,0.0799617326,47.05,3.917340372,48.99018873
2018-11-12,NG-NN,N,N,Sed,3,A,26.9369,26.9444,1.08,0.07710595644,47.41,3.947313645,51.19336855
2018-11-12,NG-NN,N,N,Sed,3,B,26.9368,26.9462,1,0.07139440411,41.25,3.434437626,48.1051375
2018-11-12,NG-NN,N,N,Sed,3,C,26.9368,26.9518,1.08,0.07710595644,45.28,3.769971775,48.89339228
2018-11-12,NG-NN,N,N,Sed,3,D,26.9368,26.9477,0.98,0.06996651602,46.25,3.850733096,55.03679925
2018-11-12,NG-YN,Y,N,Sed,3,A,26.9371,26.9476,1.05,0.07496412431,45.35,3.775799912,50.36809202
2018-11-12,NG-YN,Y,N,Sed,3,B,26.9371,26.9488,1.19,0.08,46.16,3.84,45.42
