Treat,Location,jar,Vial_mass,Leaf_number,Vial_Leaf_Mass
NG-NN,Top,A,13.5202,3,13.5182
NG-NN,Top,B,13.4854,3,13.4791
NG-NN,Top,C,13.4748,3,13.476
NG-NN,Top,D,13.407,3,13.4064
NG-YN,Top,A,13.5433,3,13.7004
NG-YN,Top,B,13.5549,3,13.7122
NG-YN,Top,C,13.5917,3,13.5563
NG-YN,Top,D,13.5917,3,13.5941
YG-NN,Top,A,13.6549,3,13.6611
YG-NN,Top,B,13.4913,3,13.4929
YG-NN,Top,C,13.5896,3,13.591
YG-NN,Top,D,13.5587,3,13.5661
YG-YN,Top,A,13.4789,3,13.4827
YG-YN,Top,B,13.4954,3,13.5001
YG-YN,Top,C,13.5349,3,13.5391
YG-YN,Top,D,13.5629,3,13.5683
NG-NN,Sed,A,13.3929,3,13.3979
NG-NN,Sed,B,13.6051,3,13.6053
NG-NN,Sed,C,13.6034,3,13.5918
NG-NN,Sed,D,13.5926,3,13.6054
NG-YN,Sed,A,13.5082,3,13.5099
NG-YN,Sed,B,13.7088,3,13.4244
NG-YN,Sed,C,13.5289,3,13.5324
NG-YN,Sed,D,13.4998,3,13.5031
YG-NN,Sed,A,13.724,3,13.7303
YG-NN,Sed,B,13.4487,3,13.4514
YG-NN,Sed,C,13.5686,3,13.5726
YG-NN,Sed,D,13.5396,3,13.5499
YG-YN,Sed,A,13.5408,3,13.5458
YG-YN,Sed,B,13.7097,3,13.7124
YG-YN,Sed,C,13.6659,3,13.6748
YG-YN,Sed,D,13.7036,3,13.7118
