Samp,Treat,HarvestDate,Erg,LeafNum
SED A,NG NN,2/7/19,1.6208,2
SED B,NG NN,2/7/19,0.2404,2
SED C,NG NN,2/7/19,0.7867,2
SED D,NG NN,2/7/19,0.2323,2
TOP A,NG NN,2/7/19,3.3597,2
TOP B,NG NN,2/7/19,2.7323,2
TOP C,NG NN,2/7/19,0.4413,2
TOP D,NG NN,2/7/19,4.9685,2
SED A,NG YN,2/7/19,0.3149,2
SED B,NG YN,2/7/19,0.8808,2
SED C,NG YN,2/7/19,4.4659,2
SED D,NG YN,2/7/19,3.4757,2
TOP A,NG YN,2/7/19,0.2078,2
TOP B,NG YN,2/7/19,1.1042,2
TOP C,NG YN,2/7/19,4.0646,1
TOP D,NG YN,2/7/19,2.4304,2
SED A,YG NN,2/7/19,0.4923,2
SED B,YG NN,2/7/19,0.1568,2
SED C,YG NN,2/7/19,0.5624,2
SED D,YG NN,2/7/19,0.7551,2
TOP A,YG NN,2/7/19,4.1505,2
TOP B,YG NN,2/7/19,0.5272,2
TOP C,YG NN,2/7/19,1.7231,2
TOP D,YG NN,2/7/19,3.5639,2
SED A,YG YN,2/7/19,0.1223,2
SED B,YG YN,2/7/19,0.8166,2
SED C,YG YN,2/7/19,2.014,2
SED D,YG YN,2/7/19,3.3932,2
TOP A,YG YN,2/7/19,4.4392,2
TOP B,YG YN,2/7/19,1.3061,2
TOP C,YG YN,2/7/19,3.9152,2
TOP D,YG YN,2/7/19,4.1743,2
SED A,NG NN,11/12/18,0.4045,2
SED B,NG NN,11/12/18,0.0441,2
SED C,NG NN,11/12/18,0.1845,2
SED D,NG NN,11/12/18,0.1545,2
TOP A,NG NN,11/12/18,1.3065,1
TOP B,NG NN,11/12/18,0.1914,2
TOP C,NG NN,11/12/18,0.1885,2
TOP D,NG NN,11/12/18,0.2289,2
SED A,NG YN,11/12/18,0.1502,2
SED B,NG YN,11/12/18,0.3451,2
SED C,NG YN,11/12/18,0.128,2
SED D,NG YN,11/12/18,0.0831,2
TOP A,NG YN,11/12/18,0.2038,2
TOP B,NG YN,11/12/18,1.2786,2
TOP C,NG YN,11/12/18,0.0853,1
TOP D,NG YN,11/12/18,0.3296,2
SED A,YG NN,11/12/18,0.303,2
SED B,YG NN,11/12/18,0.2461,2
SED C,YG NN,11/12/18,0.1317,2
SED D,YG NN,11/12/18,0.1725,2
TOP A,YG NN,11/12/18,0.7742,2
TOP B,YG NN,11/12/18,0.1974,2
TOP C,YG NN,11/12/18,0.8175,2
TOP D,YG NN,11/12/18,0.4289,2
SED A,YG YN,11/12/18,0.1793,2
SED B,YG YN,11/12/18,0.2027,2
SED C,YG YN,11/12/18,0.5152,2
SED D,YG YN,11/12/18,0.4226,2
TOP A,YG YN,11/12/18,0.2116,2
TOP B,YG YN,11/12/18,0.413,2
TOP C,YG YN,11/12/18,0.7437,2
TOP D,YG YN,11/12/18,0.8563,NA
