bottle,treat,location,glucose,nutrients,treat_rep,leaf_rep,Water_Mass_ml,shelf_mass,res_mass
a,NG-NN,top,N,N,A,1,24.4,48.3,4.5
a,NG-NN,top,N,N,A,2,19,48.3,20.2
a,NG-NN,top,N,N,A,3,23,48.3,9
b,NG-NN,top,N,N,B,1,23,17.4,4.5
b,NG-NN,top,N,N,B,2,0,17.4,0
b,NG-NN,top,N,N,B,3,3.5,17.4,4.5
c,NG-NN,top,N,N,C,1,127,17.4,20.2
c,NG-NN,top,N,N,C,2,124,17.4,20.2
c,NG-NN,top,N,N,C,3,109,17.4,20.2
d,NG-NN,top,N,N,D,1,10,17.4,4.5
d,NG-NN,top,N,N,D,2,30,17.4,9
d,NG-NN,top,N,N,D,3,0,17.4,0
e,NG-YN,top,N,Y,A,1,0,17.4,4.5
e,NG-YN,top,N,Y,A,2,33,17.4,9
e,NG-YN,top,N,Y,A,3,7,17.4,4.5
f,NG-YN,top,N,Y,B,1,52,17.4,20.2
f,NG-YN,top,N,Y,B,2,91,17.4,20.2
f,NG-YN,top,N,Y,B,3,44,17.4,20.2
g,NG-YN,top,N,Y,C,1,17,17.4,4.5
g,NG-YN,top,N,Y,C,2,0,17.4,0
g,NG-YN,top,N,Y,C,3,0,17.4,0
h,NG-YN,top,N,Y,D,1,94,17.4,20.2
h,NG-YN,top,N,Y,D,2,72,17.4,20.2
h,NG-YN,top,N,Y,D,3,31,17.4,20.2
i,YG-NN,top,Y,N,A,1,60,17.4,20.2
i,YG-NN,top,Y,N,A,2,110,17.4,20.2
i,YG-NN,top,Y,N,A,3,43,17.4,20.2
j,YG-NN,top,Y,N,B,1,62,17.4,20.2
j,YG-NN,top,Y,N,B,2,53,17.4,20.2
j,YG-NN,top,Y,N,B,3,70,17.4,20.2
k,YG-NN,top,Y,N,C,1,87,17.4,20.2
k,YG-NN,top,Y,N,C,2,24,17.4,20.2
k,YG-NN,top,Y,N,C,3,72,17.4,20.2
l,YG-NN,top,Y,N,D,1,44,17.4,20.2
l,YG-NN,top,Y,N,D,2,57,17.4,20.2
l,YG-NN,top,Y,N,D,3,6,17.4,4.5
m,YG-YN,top,Y,Y,A,1,12,17.4,4.5
m,YG-YN,top,Y,Y,A,2,0,17.4,4.5
m,YG-YN,top,Y,Y,A,3,0,17.4,0
n,YG-YN,top,Y,Y,B,1,29,17.4,4.5
n,YG-YN,top,Y,Y,B,2,33,17.4,9
n,YG-YN,top,Y,Y,B,3,28,17.4,9
o,YG-YN,top,Y,Y,C,1,30,17.4,20.2
o,YG-YN,top,Y,Y,C,2,24,17.4,20.2
o,YG-YN,top,Y,Y,C,3,53,17.4,20.2
p,YG-YN,top,Y,Y,D,1,31,17.4,20.2
p,YG-YN,top,Y,Y,D,2,17,17.4,20.2
p,YG-YN,top,Y,Y,D,3,21,17.4,9
a,NG-NN,sed,N,N,A,1,84,48.3,18
a,NG-NN,sed,N,N,A,2,23,48.3,9
a,NG-NN,sed,N,N,A,3,0,48.3,0
b,NG-NN,sed,N,N,B,1,9,17.4,4.5
b,NG-NN,sed,N,N,B,2,0,17.4,4.5
b,NG-NN,sed,N,N,B,3,0,17.4,0
c,NG-NN,sed,N,N,C,1,37,17.4,9
c,NG-NN,sed,N,N,C,2,17,17.4,4.5
c,NG-NN,sed,N,N,C,3,60,17.4,9
d,NG-NN,sed,N,N,D,1,0,17.4,4.5
d,NG-NN,sed,N,N,D,2,0,17.4,0
d,NG-NN,sed,N,N,D,3,23,17.4,9
e,NG-YN,sed,N,Y,A,1,42,17.4,9
e,NG-YN,sed,N,Y,A,2,15,17.4,4.5
e,NG-YN,sed,N,Y,A,3,38,17.4,9
f,NG-YN,sed,N,Y,B,1,35,17.4,9
f,NG-YN,sed,N,Y,B,2,0,17.4,0
f,NG-YN,sed,N,Y,B,3,19,17.4,9
g,NG-YN,sed,N,Y,C,1,0,17.4,0
g,NG-YN,sed,N,Y,C,2,33,17.4,4.5
g,NG-YN,sed,N,Y,C,3,0,17.4,0
h,NG-YN,sed,N,Y,D,1,2,17.4,4.5
h,NG-YN,sed,N,Y,D,2,23,17.4,9
h,NG-YN,sed,N,Y,D,3,17,17.4,9
i,YG-NN,sed,Y,N,A,1,0,17.4,0
i,YG-NN,sed,Y,N,A,2,7.2,17.4,4.5
i,YG-NN,sed,Y,N,A,3,17.8,17.4,4.5
j,YG-NN,sed,Y,N,B,1,0,17.4,4.5
j,YG-NN,sed,Y,N,B,2,5.9,17.4,4.5
j,YG-NN,sed,Y,N,B,3,19,17.4,4.5
k,YG-NN,sed,Y,N,C,1,5.9,17.4,4.5
k,YG-NN,sed,Y,N,C,2,9.2,17.4,4.5
k,YG-NN,sed,Y,N,C,3,16,17.4,4.5
l,YG-NN,sed,Y,N,D,1,23,17.4,4.5
l,YG-NN,sed,Y,N,D,2,0,17.4,0
l,YG-NN,sed,Y,N,D,3,0,17.4,0
m,YG-YN,sed,Y,Y,A,1,0,17.4,0
m,YG-YN,sed,Y,Y,A,2,0,17.4,0
m,YG-YN,sed,Y,Y,A,3,7.4,17.4,4.5
n,YG-YN,sed,Y,Y,B,1,10,17.4,4.5
n,YG-YN,sed,Y,Y,B,2,26,17.4,4.5
n,YG-YN,sed,Y,Y,B,3,0,17.4,0
o,YG-YN,sed,Y,Y,C,1,0,17.4,0
o,YG-YN,sed,Y,Y,C,2,13,17.4,4.5
o,YG-YN,sed,Y,Y,C,3,8,17.4,4.5
p,YG-YN,sed,Y,Y,D,1,9,17.4,4.5
p,YG-YN,sed,Y,Y,D,2,0,17.4,0
p,YG-YN,sed,Y,Y,D,3,0,17.4,4.5
