bottle,treat,location,glucose,nutrients,treat_rep,leaf_rep,water_mass,shelf_mass,res_mass
a,NG-NN,top,N,N,A,1,124,48.3,20.2
a,NG-NN,top,N,N,A,2,129,48.3,20.2
a,NG-NN,top,N,N,A,3,23,48.3,20.2
b,NG-NN,top,N,N,B,1,85,48.3,20.2
b,NG-NN,top,N,N,B,2,68,48.3,20.2
b,NG-NN,top,N,N,B,3,123,48.3,20.2
c,NG-NN,top,N,N,C,1,134,48.3,20.2
c,NG-NN,top,N,N,C,2,90,48.3,20.2
c,NG-NN,top,N,N,C,3,76,48.3,20.2
d,NG-NN,top,N,N,D,1,126,48.3,20.2
d,NG-NN,top,N,N,D,2,41,48.3,20.2
d,NG-NN,top,N,N,D,3,152,48.3,24.7
e,NG-YN,top,N,Y,A,1,151,48.3,24.7
e,NG-YN,top,N,Y,A,2,60,48.3,20.2
e,NG-YN,top,N,Y,A,3,130,48.3,24.7
f,NG-YN,top,N,Y,B,1,70,48.3,20.2
f,NG-YN,top,N,Y,B,2,81,48.3,20.2
f,NG-YN,top,N,Y,B,3,103,48.3,20.2
g,NG-YN,top,N,Y,C,1,130,48.3,20.2
g,NG-YN,top,N,Y,C,2,92,48.3,20.2
g,NG-YN,top,N,Y,C,3,NA,NA,NA
h,NG-YN,top,N,Y,D,1,112,48.3,20.2
h,NG-YN,top,N,Y,D,2,126,48.3,20.2
h,NG-YN,top,N,Y,D,3,158,48.3,24.7
i,YG-NN,top,Y,N,A,1,156,48.3,24.7
i,YG-NN,top,Y,N,A,2,31,48.3,20.2
i,YG-NN,top,Y,N,A,3,130,48.3,20.2
j,YG-NN,top,Y,N,B,1,95,48.3,20.2
j,YG-NN,top,Y,N,B,2,133,48.3,20.2
j,YG-NN,top,Y,N,B,3,24,48.3,20.2
k,YG-NN,top,Y,N,C,1,123,48.3,20.2
k,YG-NN,top,Y,N,C,2,103,48.3,20.2
k,YG-NN,top,Y,N,C,3,103,48.3,20.2
l,YG-NN,top,Y,N,D,1,141,48.3,24.7
l,YG-NN,top,Y,N,D,2,130,48.3,24.7
l,YG-NN,top,Y,N,D,3,127,48.3,24.7
m,YG-YN,top,Y,Y,A,1,31,48.3,20.2
m,YG-YN,top,Y,Y,A,2,110,48.3,20.2
m,YG-YN,top,Y,Y,A,3,132,48.3,20.2
n,YG-YN,top,Y,Y,B,1,133,48.3,20.2
n,YG-YN,top,Y,Y,B,2,141,48.3,24.7
n,YG-YN,top,Y,Y,B,3,126,48.3,20.2
o,YG-YN,top,Y,Y,C,1,6,48.3,20.2
o,YG-YN,top,Y,Y,C,2,139,48.3,24.7
o,YG-YN,top,Y,Y,C,3,39,48.3,20.2
p,YG-YN,top,Y,Y,D,1,131,48.3,24.7
p,YG-YN,top,Y,Y,D,2,145,48.3,24.7
p,YG-YN,top,Y,Y,D,3,130,48.3,24.7
a,NG-NN,sed,N,N,A,1,0,48.3,20.2
a,NG-NN,sed,N,N,A,2,0,48.3,20.2
a,NG-NN,sed,N,N,A,3,35,48.3,20.2
b,NG-NN,sed,N,N,B,1,0,48.3,20.2
b,NG-NN,sed,N,N,B,2,0,48.3,0
b,NG-NN,sed,N,N,B,3,120,48.3,20.2
c,NG-NN,sed,N,N,C,1,29,48.3,20.2
c,NG-NN,sed,N,N,C,2,119,48.3,20.2
c,NG-NN,sed,N,N,C,3,129,48.3,20.2
d,NG-NN,sed,N,N,D,1,47,48.3,20.2
d,NG-NN,sed,N,N,D,2,130,48.3,20.2
